ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	
1	0	1	TX	22456457		0x0000079b	8	0x02 21 62 00 00 00 00 00 	
1	0	1	TX	22456476		0x000007bb	8	0x10 76 61 62 08 00 01 5a 	
1	0	2	TX	22456476		0x0000079b	8	0x30 00 00 00 00 00 00 00 	
1	0	2	TX	22456512		0x000007bb	8	0x21 26 35 01 7e 00 5c 00 	
1	0	3	TX	22456524		0x000007bb	8	0x22 09 00 00 00 00 00 00 	
1	0	4	TX	22456557		0x000007bb	8	0x23 00 00 08 87 00 91 00 	
1	0	5	TX	22456572		0x000007bb	8	0x24 19 00 05 00 00 00 00 	
1	0	6	TX	22456588		0x000007bb	8	0x25 00 00 00 00 25 dc 01 	
1	0	7	TX	22456603		0x000007bb	8	0x26 ce 00 5f 00 0e 00 00 	
1	0	8	TX	22456620		0x000007bb	8	0x27 00 00 00 00 00 00 08 	
1	0	9	TX	22456636		0x000007bb	8	0x28 18 00 e6 00 2c 00 0b 	
1	0	10	TX	22456656		0x000007bb	8	0x29 00 01 00 00 00 00 00 	
1	0	11	TX	22456675		0x000007bb	8	0x2a 00 00 1d 00 94 01 48 	
1	0	12	TX	22456703		0x000007bb	8	0x2b 02 30 04 7e 08 40 0a 	
1	0	13	TX	22456719		0x000007bb	8	0x2c f5 0c 38 00 1d 00 7b 	
1	0	14	TX	22456736		0x000007bb	8	0x2d 00 c7 00 e9 01 bf 02 	
1	0	15	TX	22456751		0x000007bb	8	0x2e 3e 02 2c 00 c5 00 00 	
1	0	16	TX	22456770		0x000007bb	8	0x2f 00 00 00 00 00 00 00 	
1	0	17	TX	22456786		0x000007bb	8	0x20 00 00 00 00 15 06 c0 	
1	0	1	TX	22456788		0x00000797	8	0x02 10 c0 00 00 00 00 00 	
1	0	1	TX	22456806		0x0000079a	8	0x02 50 c0 00 00 00 00 00 	
1	0	2	TX	22456807		0x00000797	8	0x04 3b 14 08 00 00 00 00 	
1	0	2	TX	22456842		0x0000079a	8	0x02 7b 14 00 00 00 00 00 	
1	0	3	TX	22456846		0x00000797	8	0x04 3b 15 01 5a 00 00 00 	
1	0	3	TX	22456858		0x0000079a	8	0x02 7b 15 00 00 00 00 00 	
1	0	4	TX	22456858		0x00000797	8	0x02 10 c0 00 00 00 00 00 	
1	0	4	TX	22456873		0x0000079a	8	0x02 50 c0 00 00 00 00 00 	
1	0	5	TX	22456878		0x00000797	8	0x02 21 83 00 00 00 00 00 	
1	0	5	TX	22456893		0x0000079a	8	0x10 1a 61 83 33 4e 41 32 	
1	0	6	TX	22456895		0x00000797	8	0x30 00 00 00 00 00 00 00 	
1	0	6	TX	22456914		0x0000079a	8	0x21 41 00 41 06 04 33 4e 	
1	0	7	TX	22456952		0x0000079a	8	0x22 41 30 42 56 37 37 31 	
1	0	8	TX	22456967		0x0000079a	8	0x23 33 31 00 00 00 80 00 	
1	0	7	TX	22456972		0x00000797	8	0x02 10 81 00 00 00 00 00 	
1	0	9	TX	22456987		0x0000079a	8	0x02 50 81 00 00 00 00 00 	
1	0	8	TX	22456990		0x00000797	8	0x02 10 c0 00 00 00 00 00 	
1	0	10	TX	22457007		0x0000079a	8	0x02 50 c0 00 00 00 00 00 	
1	0	9	TX	22457008		0x00000797	8	0x03 14 ff 00 00 00 00 00 	
1	0	11	TX	22457022		0x0000079a	8	0x03 54 ff 00 00 00 00 00 	
1	0	10	TX	22457833		0x00000797	8	0x03 17 ff 00 00 00 00 00 	
1	0	12	TX	22457836		0x0000079a	8	0x05 57 01 31 02 c0 00 00 	
1	0	11	TX	22457836		0x00000797	8	0x02 10 c0 00 00 00 00 00 	
1	0	13	TX	22457851		0x0000079a	8	0x02 50 c0 00 00 00 00 00 	
1	0	12	TX	22457851		0x00000797	8	0x02 21 81 00 00 00 00 00 	
1	0	14	TX	22457867		0x0000079a	8	0x10 15 61 81 4a 4e 31 41 	
1	0	13	TX	22457868		0x00000797	8	0x30 00 00 00 00 00 00 00 	
1	0	15	TX	22457887		0x0000079a	8	0x21 5a 30 43 50 35 42 54 	
1	0	16	TX	22457908		0x0000079a	8	0x22 30 30 31 33 34 35 41 	
1	0	17	TX	22457926		0x0000079a	8	0x23 2e 00 00 00 00 00 00 	
1	0	14	TX	22457926		0x00000797	8	0x02 10 81 00 00 00 00 00 	
1	0	18	TX	22457939		0x0000079a	8	0x02 50 81 00 00 00 00 00 	
1	0	1	TX	22457939		0x00000743	8	0x02 21 01 00 00 00 00 00 	
