ParserFlags	Ch	Counter	T/R	Time	Flags	CAN ID	Len	Data	
1	0	189	TX	2299946		0x0000079b	8	0x02 21 62 00 00 00 00 00 	
1	0	190	TX	2299965		0x0000079b	8	0x30 00 00 00 00 00 00 00 	
1	0	191	TX	2300328		0x00000797	8	0x02 10 c0 00 00 00 00 00 	
1	0	192	TX	2300347		0x00000797	8	0x04 3b 14 08 00 00 00 00 	
1	0	193	TX	2300398		0x00000797	8	0x04 3b 15 01 5a 00 00 00 	
1	0	194	TX	2300410		0x00000797	8	0x02 10 c0 00 00 00 00 00 	
1	0	195	TX	2300431		0x00000797	8	0x02 21 83 00 00 00 00 00 	
1	0	196	TX	2300450		0x00000797	8	0x30 00 00 00 00 00 00 00 	
1	0	197	TX	2300536		0x00000797	8	0x02 10 81 00 00 00 00 00 	
1	0	198	TX	2300556		0x00000797	8	0x02 10 c0 00 00 00 00 00 	
1	0	199	TX	2300574		0x00000797	8	0x03 14 ff 00 00 00 00 00 	
1	0	200	TX	2301405		0x00000797	8	0x03 17 ff 00 00 00 00 00 	
1	0	201	TX	2301408		0x00000797	8	0x02 10 c0 00 00 00 00 00 	
1	0	202	TX	2301423		0x00000797	8	0x02 21 81 00 00 00 00 00 	
1	0	203	TX	2301440		0x00000797	8	0x30 00 00 00 00 00 00 00 	
1	0	204	TX	2301516		0x00000797	8	0x02 10 81 00 00 00 00 00 	
1	0	205	TX	2301529		0x00000743	8	0x02 21 01 00 00 00 00 00 	
1	0	206	TX	2301578		0x00000743	8	0x30 00 00 00 00 00 00 00 	
1	0	207	TX	2301624		0x00000797	8	0x02 10 c0 00 00 00 00 00 	
1	0	208	TX	2301636		0x00000797	8	0x02 21 83 00 00 00 00 00 	
1	0	209	TX	2301654		0x00000797	8	0x30 00 00 00 00 00 00 00 	
1	0	210	TX	2301713		0x00000797	8	0x02 10 81 00 00 00 00 00 	
1	0	211	TX	2301730		0x00000797	8	0x02 10 c0 00 00 00 00 00 	
